"no","name","code","type","address","lng","lat","sigudong"
7292,"(주)산업공해연구소",22,"수질오염","서울특별시 금천구 가산동 345-30번지 에이스테크노타운9차  10층 ",126.881768987485,37.4754755669915,"서울특별시 금천구 가산동"
7293,"(주)코리아본뱅크",22,"수질오염","서울특별시 금천구 가산동 345-30번지 에이스테크노타워 402호",126.881768987485,37.4754755669915,"서울특별시 금천구 가산동"
7294,"(주)세진콘덴서",21,"대기오염","서울특별시 금천구 가산동 345-48번지 ",126.882786399431,37.4704474144346,"서울특별시 금천구 가산동"
7295,"DIZIN",21,"대기오염","서울특별시 금천구 가산동 327-32번지 대륭테크노타운12차 1401~1402호",126.884201247622,37.46994955967,"서울특별시 금천구 가산동"
7296,"아이모스시스템(주)",21,"대기오염","서울특별시 금천구 가산동 371-41번지 ",126.880700540391,37.480730168441,"서울특별시 금천구 가산동"
7297,"(주)연전",21,"대기오염","서울특별시 금천구 가산동 371-73번지 ",126.879758847448,37.4743164622082,"서울특별시 금천구 가산동"
7298,"삼흥프레시젼(주)",21,"대기오염","서울특별시 금천구 가산동 143-22번지 ",126.890590884558,37.4773706882764,"서울특별시 금천구 가산동"
7299,"(주)이모션덕유",22,"수질오염","서울특별시 금천구 가산동 345-34번지 ",126.880642959376,37.4739979506885,"서울특별시 금천구 가산동"
7300,"(주)준쥬얼리",22,"수질오염","서울특별시 금천구 가산동 371-59번지 신한이노플렉스2차 1504호",126.88161677034,37.4787313912489,"서울특별시 금천구 가산동"
7301,"(주)비비드펄",22,"수질오염","서울특별시 금천구 가산동 371-59번지 신한이노플렉스2차 1501 ",126.88161677034,37.4787313912489,"서울특별시 금천구 가산동"
7302,"(주)베타젠",22,"수질오염","서울특별시 금천구 가산동 685번지 디지털엠파이어빌딩 802호 ",126.887504221482,37.4653924653137,"서울특별시 금천구 가산동"
7303,"케이엔디티앤아이(주)",22,"수질오염","서울특별시 금천구 가산동 685번지 디지털엠파이어빌딩 801804~806호 ",126.887504221482,37.4653924653137,"서울특별시 금천구 가산동"
